Search results:
    angular-marked git://github.com/Hypercubed/angular-marked.git
    angularjs-truncate git://github.com/sparkalow/angular-truncate.git
    angularjs-scroll-glue git://github.com/wishbear/angularjs-scroll-glue.git
    angular-locale-bundles git://github.com/AresProjectManagement/angular-locale-bundles.git
    angular-data git://github.com/jmdobry/angular-data.git
    angular-tree-control git://github.com/wix/angular-tree-control.git
    ui-router git://github.com/angular-ui/ui-router.git
    angular-schema-form git://github.com/Textalk/angular-schema-form.git
    angular-encode-uri git://github.com/rubenv/angular-encode-uri.git
    angular-specs git://github.com/Mindspace/bower-angular-specs.git
    angular-markdown git://github.com/PatrickHeneise/angular-markdown.git
    angular-debounce git://github.com/rubenv/angular-debounce.git
    angular-filters git://github.com/frapontillo/angular-filters.git
    angular-growl-notifications git://github.com/jvandemo/angular-growl-notifications.git
    angular-bootstrap-jbruni git://github.com/jbruni/bootstrap-bower-jbruni.git
    angular-localForage git://github.com/ocombe/angular-localForage.git
    angular-mocks-unstable git://github.com/meenie/bower-angular-mocks-unstable.git
    angular-material git://github.com/angular/bower-material.git
    angular-reverse-url git://github.com/incuna/angular-reverse-url.git
    angular-classy git://github.com/davej/angular-classy
    Angular-NestedSortable git://github.com/JimLiu/Angular-NestedSortable.git
    angular-bind-html-compile git://github.com/incuna/angular-bind-html-compile.git
    pubnub-angular git://github.com/pubnub/pubnub-angular.git
    angular-ui-bootstrap3 git://github.com/kkruit/angular-ui-bootstrap3-bower.git
    angular-readable-time git://github.com/wildlyinaccurate/angular-readable-time.git
    angular-social git://github.com/esvit/angular-social.git
    angular-vertxbus git://github.com/knalli/angular-vertxbus.git
    angularjs-slider git://github.com/rzajac/angularjs-slider.git
    angular-dragdrop-ganarajpr git://github.com/ganarajpr/angular-dragdrop.git
    angular-multi-select git://github.com/isteven/angular-multi-select.git
    angular-isotope git://github.com/mankindsoftware/angular-isotope
    angular-thrift git://github.com/davearata/angular-thrift.git
    angular-devise git://github.com/cloudspace/angular_devise.git
    angular-dataform git://github.com/sqs/angular-dataform.git
    angular-selection-model git://github.com/jtrussell/angular-selection-model.git
    angular-smart-table git://github.com/lorenzofox3/Smart-Table.git
    angular-ravenjs git://github.com/incuna/angular-raven.git
    angularitics git://github.com/luisfarzati/angulartics
    famous-angular git://github.com/Famous/famous-angular.git
    angular-datatables git://github.com/l-lin/angular-datatables.git
    angular-medium-editor git://github.com/thijsw/angular-medium-editor.git
    bower-angular-placeholders git://github.com/grailian/bower-angular-placeholders
    angular-bootstrap-select git://github.com/joaoneto/angular-bootstrap-select.git
    angular-segmentio git://github.com/arnaudbreton/angular-segmentio.git
    angular-notification git://github.com/neoziro/angular-notification.git
    angular-summernote git://github.com/outsideris/angular-summernote.git
    angular-hal git://github.com/elmerbulthuis/angular-hal.git
    angular-css-injector git://github.com/Yappli/angular-css-injector.git
    angular-qrcode git://github.com/monospaced/angular-qrcode.git
    angular-bootstrap-nav-tree git://github.com/nickperkinslondon/angular-bootstrap-nav-tree
    angular-restsource git://github.com/AresProjectManagement/angular-restsource.git
    angular-ui-grid git://github.com/angular-ui/bower-ui-grid.git
    angular-cached-resource git://github.com/goodeggs/angular-cached-resource.git
    angular-tags git://github.com/decipherinc/angular-tags.git
    angular-numeraljs git://github.com/baumandm/angular-numeraljs.git
    angular-ui-foundation-pagination git://github.com/fuksito/angular-ui-foundation-pagination.git
    angularjs-bower git://github.com/mjaric/angularjs-bower.git
    angular-bootstrap-toggle-switch git://github.com/JumpLink/angular-toggle-switch.git
    angular-scroll git://github.com/oblador/angular-scroll.git
    angular-sails git://github.com/kyjan/angular-sails.git
    iso-3166-country-codes-angular git://github.com/BluePyth/iso-3166-country-codes-angular.git
    angular-abc git://github.com/JakeSidSmith/abc.git
    angular-filter git://github.com/a8m/angular-filter.git
    angularjs-dropdown-multiselect git://github.com/dotansimha/angularjs-dropdown-multiselect.git
    angular-track git://github.com/sourcegraph/track.git
    angular-uuid git://github.com/ajsd/angular-uuid.git
    angular-bootstrap3 git://github.com/paptamas/bower-angular-bootstrap3.git
    angular-all-unstable git://github.com/lfryc/bower-angular-all-unstable.git
    angular-scrollto git://github.com/scottcorgan/angular-scrollto.git
    angular-tour git://github.com/DaftMonk/angular-tour.git
    angular-ujs git://github.com/monterail/angular-ujs.git
    angular-phonegap-ready git://github.com/btford/angular-phonegap-ready.git
    angular-percentage-filter git://github.com/vpegado/angular-percentage-filter.git
    angular-complete2 git://github.com/datapad/bower-angular-complete.git
    angular-bootstrap-show-errors git://github.com/paulyoder/angular-bootstrap-show-errors.git
    angular-placeholder-tai git://github.com/tests-always-included/angular-placeholder.git
    angular-bootstrap-lightbox git://github.com/compact/angular-bootstrap-lightbox.git
    angular-flot git://github.com/develersrl/angular-flot.git
    angular-slider git://github.com/PopSugar/angular-slider.git
    angular-responsive-images git://github.com/c0bra/angular-responsive-images.git
    angular-deferred-bootstrap git://github.com/philippd/bower-angular-deferred-bootstrap.git
    djangular-rest-framework git://github.com/incuna/djangular-rest-framework.git
    angular-fullscreen git://github.com/fabiobiondi/angular-fullscreen
    angular-ext-q git://github.com/incuna/angular-ext-q.git
    angular-ui-chart git://github.com/angular-ui/ui-chart.git
    angular-token-auth git://github.com/incuna/angular-token-auth.git
    angular-ui-layout git://github.com/angular-ui/ui-layout.git
    angular-knob git://github.com/yunlzheng/angular-knob.git
    angular-websocket git://github.com/gdi2290/angular-websocket.git
    sfly-scalyr git://github.com/sflyphotobooks/sly-angular.git
    angular-re-captcha git://github.com/mllrsohn/angular-re-captcha.git
    angular-ladda git://github.com/remotty/angular-ladda.git
    angular-resource-master git://github.com/mgcrea/bower-angular-resource-master.git
    angular-data-mocks git://github.com/jmdobry/angular-data-mocks.git
    angular-retina git://github.com/jrief/angular-retina.git
    angular-virtual-scroll git://github.com/stackfull/angular-virtual-scroll-bower.git
    angular-socialshare git://github.com/djds4rce/angular-socialshare.git
    angular-jquery git://github.com/mgcrea/angular-jquery.git
    angular-currency-filter git://github.com/Zmetser/angular-currency-filter.git
    angular-mobile-layout git://github.com/massaroni/angular-mobile-layout.git
    angular-input-date git://github.com/betsol/angular-input-date.git
    angular-aria git://github.com/angular/bower-angular-aria.git
    angular-slider-royale git://github.com/Design-Royale/angular-slider.git
    angular-money-directive git://github.com/fiestah/angular-money-directive.git
    auth0-angular git://github.com/auth0/auth0-angular.git
    angular-pnotify git://github.com/jacqueslareau/angular-pnotify.git
    angular-media-player git://github.com/mrgamer/angular-media-player.git
    angular-rn-carousel git://github.com/revolunet/angular-carousel.git
    angular-seo git://github.com/steeve/angular-seo.git
    angular-ga git://github.com/panrafal/angular-ga.git
    angular-modal-service git://github.com/dwmkerr/angular-modal-service.git
    angular-parallax git://github.com/brettdonohoo/angular-parallax.git
    angular-intercom git://github.com/gdi2290/angular-intercom.git
    angular-qr git://github.com/janantala/angular-qr
    angular-localforage git://github.com/ocombe/angular-localForage.git
    angular-inflector git://github.com/iobaixas/angular-inflector.git
    angular-bootstrap-slider git://github.com/seiyria/angular-bootstrap-slider.git
    macgyver-core git://github.com/angular-macgyver/bower-macgyver-core.git
    angular-load git://github.com/urish/angular-load.git
    angular-router git://github.com/lordnox/bower-angular-router.git
    angular-kendo git://github.com/kendo-labs/angular-kendo.git
    angular-adaptive-detection git://github.com/angular-adaptive/adaptive-detection.git
    angular-flash-messages git://github.com/gtramontina/angular-flash.git
    angular-poller git://github.com/emmaguo/angular-poller.git
    dt-angular git://github.com/dt-bower/dt-angular.git
    macgyver-table git://github.com/angular-macgyver/bower-macgyver-table
    angularjs-toaster git://github.com/jirikavi/AngularJS-Toaster.git
    angular-fallback-src git://github.com/tlvince/angular-fallback-src.git
    angular-flexslider git://github.com/thenikso/angular-flexslider.git
    angular-placeholder git://github.com/monospaced/angular-placeholder.git
    revolunet-angular-carousel git://github.com/revolunet/angular-carousel.git
    angular-ui-bootstrap-complete git://github.com/datapad/bower-angular-ui-bootstrap-complete.git
    angular-bugsnag git://github.com/wmluke/angular-bugsnag.git
    bc-angular-notification git://github.com/buttercoin/bc-angular-notification.git
    angular-unsavedChanges git://github.com/facultymatt/angular-unsavedChanges.git
    bc-angular-directives git://github.com/buttercoin/bc-angular-directives.git
    angular-google-staticmaps git://github.com/passy/angular-google-staticmaps.git
    bc-angular-models git://github.com/buttercoin/bc-angular-models.git
    angular-utils-ui-breadcrumbs git://github.com/michaelbromley/angularUtils-uiBreadcrumbs.git
    bc-angular-i18n git://github.com/buttercoin/bc-angular-i18n.git
    angular-chosen git://github.com/iiome/angular-chosen.git
    angular-smoothscroll git://github.com/arnaudbreton/angular-smoothscroll.git
    jquery-mobile-angular-adapter git://github.com/opitzconsulting/jquery-mobile-angular-adapter.git
    angular-sham-spinner git://github.com/harinair/angular-sham-spinner.git
    angular-firebase git://github.com/petebacondarwin/angular-firebase.git
    angular-mobile-nav git://github.com/ajoslin/angular-mobile-nav
    angular-file-dnd git://github.com/onemightyroar/angular-file-dnd.git
    angular-postman git://github.com/CWSpear/angular-postman.git
    angular-timeago git://github.com/yaru22/angular-timeago.git
    angular-faye git://github.com/teamon/angular-faye.git
    ng-cordova git://github.com/tadeucaldas/angular-cordova.git
    angular-shims-placeholder git://github.com/jrief/angular-shims-placeholder.git
    angular-uuid-service git://github.com/daniellmb/angular-uuid-service.git
    angular-truncate-original git://github.com/sparkalow/angular-truncate.git
    angular-notify git://github.com/cgross/angular-notify.git
    angular-form-for git://github.com/bvaughn/angular-form-for.git
    angular-validator git://github.com/kelp404/angular-validator.git
    angular-pouchdb git://github.com/wspringer/angular-pouchdb.git
    malhar-angular-dashboard git://github.com/DataTorrent/malhar-angular-dashboard.git
    angular-disqus git://github.com/kirstein/angular-disqus.git
    angular-kb git://github.com/keboola/angular-kb
    angular-lodash-module git://github.com/kmc059000/angular-lodash-module.git
    angular-utf8-base64 git://github.com/stranger82/angular-utf8-base64.git
    angular-date-range-picker git://github.com/monterail/angular-date-range-picker.git
    angular-highcharts-directive git://github.com/rootux/angular-highcharts-directive.git
    angular-action git://github.com/myplanetdigital/angular-action.git
    angular-extend-promises https://bitbucket.org/lsystems/angular-extend-promises.git
    angular-swipe git://github.com/marmorkuchen-net/angular-swipe.git
    angular-safeapply git://github.com/cotag/angular-safeapply.git
    angular-1.1.x git://github.com/PatternConsulting/bower-angular.git
    angular-pikaday-directive git://github.com/sebslomski/angular-pikaday-directive.git
    angular-reconnecting-websocket git://github.com/adieu/angular-reconnecting-websocket.git
    angular-relative-date git://github.com/wildlyinaccurate/angular-relative-date.git
    angular-django-rest-resource git://github.com/blacklocus/angular-django-rest-resource.git
    angular-hotkeys git://github.com/drahak/angular-hotkeys.git
    dialogs git://github.com/m-e-conroy/angular-dialog-service.git
    angular-import-scope git://github.com/rubenv/angular-import-scope.git
    angular-decorate git://github.com/damienklinnert/angular-decorate.git
    angular-notifications git://github.com/DerekRies/angular-notifications.git
    angular-mm-foundation git://github.com/madmimi/angular-foundation.git
    angular-restmod git://github.com/platanus/angular-restmod.git
    angular-draganddrop git://github.com/neoziro/angular-draganddrop
    angularjs-unstable git://github.com/euskadi31/bower-angular-unstable.git
    angular-treeview git://github.com/eu81273/angular.treeview.git
    angular-seed git://github.com/angular/angular-seed.git
    angularjs-gravatardirective git://github.com/lavinjj/angularjs-gravatardirective.git
    goangular git://github.com/goinstant/goangular.git
    angular-component-factory git://github.com/kennethlynne/angular-component-factory.git
    angular-gantt git://github.com/Schweigi/angular-gantt.git
    25th-angular-utils git://github.com/25th-floor/angular-utils.git
    angular-bootstrap3-datepicker git://github.com/benzen/angular-bootstrap3-datepicker.git
    angular-momentjs-module git://github.com/firehist/angular-momentjs.git
